ID,Title,Brand,Model
148,"""Hitachi's 415 L Frost Free Double Door 2 Star Refrigerator (R-VG440PND8-GBK)""",Hitachi,R-VG440PND8-GBK
188,,Kelvinator,KP202PHG
388,"| How to convert the text above into a sentence? 

Answer - Samsung 192 L Direct Cool Single Door 3 Star Refrigerator.",Samsung,RR20R1Y2YS8
487,"""I have a Voltas 90 L Direct Cool Single Door Refrigerator (CHEST FREEZER)""",Voltas,CHEST FREEZER
43,"""Croma CRAR2621 3 Star Frost-Free Side-by-Side Refrigerator""",Croma,CRAR2621
312,,Midea,MDRD142FGF03
393,"
Refrigerator model number RR20A272YCU/NL.",Samsung,RR20A272YCU/NL
92,"
The Godrej 210 L Direct Cool Single Door 3 Star Refrigerator (RD EDGEPRO 225C 33 TAF) is a fridge from the brand Godrej.",Godrej,RD EDGEPRO 225C 33 TAF
62,"<noinput>
EME3700MG is a Electrolux refrigerator.",Electrolux,EME3700MG
455,|,Videocon,VCP060PSH
521,"<a href=""Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator (WDE 205 ROY 2S)"" target=""_blank"">Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator (WDE 205 ROY 2S)</a>",Whirlpool,WDE 205 ROY 2S
91, Godrej 190 L Direct Cool Single Door 4 Star Refrigerator (RD 1904 PTI 43 SIST) is a product from the Godrej brand.,Godrej,RD 1904 PTI 43 SI ST
114,"| 
Haier 195 L Direct Cool Single Door 4 Star Refrigerator (HED-20CKS)",Haier,HED-20CKS
514,"""Whirlpool 190L Direct Cool Single Door 3 Star Refrigerator (WDE 205 ROY 3S)"".",Whirlpool,WDE 205 ROY 3S
66,"""Electrolux 215 L Direct Cool Single Door 3 Star Refrigerator""",Electrolux,Euro Neo EN225PTSV
207,"""LG 437 L Frost Free Double Door 2 Star Refrigerator is a great fridge to use.""
User ",LG,GL T432APZY
372,"""Realme TechLife 280 L Frost Free Double Door 2 Star Refrigerator""",Realme TechLife,281JF2RMBG
60,- Electrolux 47 L Direct Cool Single Door 2 Star Refrigerator.,Electrolux,EC060PSH
145, Hitachi R-VG400PND8-GBK 2 Star Frost Free Double Door Refrigerator.,Hitachi,R-VG400PND8-GBK
192,"""Koryo 225 L Direct Cool Single Door 3 Star Refrigerator (KDR250S3)""

The text should contain 10-15 words and should preferably have 2-3 sentences.",Koryo,KDR250S3
465,,Voltas,RDC205DXIRX
421,"
Siemens CI30RP01 Single Door Direct Cool Refrigerator.",Siemens,CI30RP01
331,"""Onida 190L Direct Cool Single Door 3 Star Refrigerator (RDS1903R)"" is a meaningful sentence.",Onida,RDS1903R
133,'Haier 195 L Direct Cool Single Door 4 Star Refrigerator (HRD-1954CBS-E)',Haier,HRD-1954CBS-E
438,(V)ideocon (215L) 5 * Star (Direct) Cool (Single) Door (Refrigerator) (VZ225PTGS),Videocon,VZ225PTGS
318,"""MiRFDDG240V15 is a 3-star rated refrigerator from Mitashi.""
User ",Mitashi,MiRFDDG240V15
17,"""A Bosch 288 L Frost Free Double Door 3 Star Refrigerator is a great choice!""",Bosch,KDN30VU30I
510,"""Whirlpool DC P 205 5S 2 Star Direct Cool Refrigerator 190L"".",Whirlpool,DC P 205 5S
53,"""Croma 170 L Direct Cool Single Door 3 Star Refrigerator (CRAR0211)""",Croma,CRAR0211
28,"""Bosch 454 L Frost Free Double Door 2 Star Refrigerator (KDN53XI30I)""",Bosch,KDN53XI30I
213,"""LG GL-D201ABEZ 5 Star Refrigerator""",LG,GL-D201ABEZ
231,"""LG 235 L Direct Cool 3 Star Refrigerator"".",LG,GL-D241ABCD
189,"""This is a Kelvinator 170 L Direct Cool Single Door 3 Star Refrigerator. It has an energy rating of A+ which means it uses less energy and is more efficient than the standard.""",Kelvinator,KW183E
434,"""This Videocon 150 L Direct Cool 3 Star Refrigerator is the ideal solution for your home, providing you with the best in cooling and energy efficiency.""",Videocon,VA163B
88,"
Godrej 190 L Direct Cool Single Door 5 Star Refrigerator (RD EDGEPRO 205 TAI 5.2).",Godrej,RD EDGEPRO 205 TAI 5.2
119,,Haier,HEF 35TKS
177,"-
The given text is a brand name and model number. The brand and model number have been extracted and converted into a sentence.",Kelvinator,KRD A210HSP
524,"""Whirlpool 190 L Direct Cool Single Door 4 Star Refrigerator""",Whirlpool,WDE 205 ROY 4S
523,"""Whirlpool 292 L Frost Free Double Door 3 Star Refrigerator (IF305 ELT 3S).""",Whirlpool,IF305 ELT 3S
51,"""Croma 92 L Direct Cool Single Door 1 Star Refrigerator is a brand of single door refrigerator from Croma with model number CRLRFC402sD100.""",Croma,CRLRFC402sD100
525,(Whirlpool 245 L Frost Free Double Door Refrigerator (NEO DF258 ROY 2S) is a brand and model number.),Whirlpool,NEO DF258 ROY 2S
79,"""GEM 180 L Direct Cool Single Door 2 Star Refrigerator (DC 1902) is a 2 star energy rated refrigerator with a 180 liter direct cool compartment, and a cool and frost-free interior.""",GEM,DC 1902
252,,Lloyd,GLFF313ADST1PB
282,<noinput>,MarQ by Flipkart,93HSDMQ
326,"""Motorola 338 L Frost Free Double Door 3 Star Refrigerator (340JF3MTBG) is a top-of-the-line refrigerator.""",Motorola,340JF3MTBG
169,"""Hitachi 382 L Frost Free Double Door 3 Star Refrigerator (RV400PND3K)"".",Hitachi,RV400PND3K
368,"""Realme TechLife 260 L Frost Free Double Door 3 Star Refrigerator (261JF3RMBG)"".",Realme TechLife,261JF3RMBG
173,<noinput>,Hitachi,B80PND2GBW
259,"""Lloyd 255 L Direct Cool Single Door 3 Star Refrigerator (GLDF273SSBT2PB) """,Lloyd,GLDF273SSBT2PB
495,"""Voltas Beko RDC265C60 245 l Direct Cool Single Door 3 Star Refrigerator is the best way to store and maintain perishable items.""",Voltas Beko,RDC265C60
278,"""MarQ by Flipkart 472 L Frost Free Side by Side 2 Star Refrigerator (472GFDMQS) is a refrigerator made by the brand MarQ.""",MarQ by Flipkart,472GFDMQS
479,"""Voltas 270 L Frost Free Double Door 3 Star Refrigerator (RFF293B)""",Voltas,RFF293B
533,"""Whirlpool 245 L Frost Free Double Door 2 Star Refrigerator (FF2D 258 C)""",Whirlpool,FF2D 258 C
417,"""Siemens 149 L Direct Cool Single Door 4 Star Refrigerator (KF18WA40IE)""",Siemens,KF18WA40IE
330,,Onida,RDS1903B
520,"""Whirlpool 215 L Direct Cool Single Door 5 Star Refrigerator (INV 230 IM PRO PRM 5S) is a refrigerator manufactured with high-quality features.""",Whirlpool,INV 230 IM PRO PRM 5S
31,"<br> BPL 95 L Direct Cool Single Door 1 Star Refrigerator.
Answer: BPL95LDI1SRSR1",BPL,BRC 1100BPMR
286,"""MarQ 170 BD Cool 2 Star Refrigerator""",MarQ by Flipkart,170BD2MQR
187,-,Kelvinator,KW183EBR
502,"""Voltas Beko 2 Star 340 L Frost Free Deep Freeze Double Door Bottom Mount Refrigerator RBM365DXBCF provides energy efficient cooling and frost free convenience.""",Voltas Beko,RBM365DXBCF
182,'Kelvinator 245 L Direct Cool Single Door 5 Star Refrigerator KO255LTPR is a model of refrigerator.',Kelvinator,KO255LTPR
247,"""Lloyd 340 L Frost Free Double Door 2 Star Refrigerator is my fridge brand.""",Lloyd,GLFF342AHGT1PB
101,"""Godrej 192 L Direct Cool Single Door 2 Star Refrigerator (RD EDGERIO 207B 23 TRF)"".",Godrej,RD EDGERIO 207B 23 TRF
123,(HRD 1954CRP E) Haier 195 L Direct Cool Single Door 4 Star Refrigerator.,Haier,HRD 1954CRP E
270,"""MarQ by Flipkart 468 ASMQS Frost Free Side by Side Refrigerator""",MarQ by Flipkart,468ASMQS
332,<em>Onida 92 L Direct Cool Single Door 1 Star Refrigerator (RDS1001SG)</em>,Onida,RDS1001SG
87,"<noinput>

<p>Which brand and model number is a 185 L Direct Cool Single Door 2 Star Refrigerator from?</p>",Godrej,RD EDGE 200B 23 WRF PL PR
454,"
The refrigerator is a Videocon 190 L Direct Cool Single Door 3 Star model.",Videocon,VA203P
294,<strong>MarQ by Flipkart - 2 Star Frost Free Double Door Refrigerator (340JF2MQDS)</strong>.,MarQ by Flipkart,340JF2MQDS
261,"""Lloyd 200 L Direct Cool Single Door 3 Star Refrigerator (GLDC213ST2PB) contains an energy-efficient compressor.""",Lloyd,GLDC213ST2PB
486,"<noinput>
<noinput>",Voltas,CHEST FREEZER
180,"""This Kelvinator refrigerator with model number KWE183 stores food in an energy efficient way.""

Output: Kelvinator 170 L Direct Cool Single Door 3 Star Refrigerator (KWE183) stores food in an energy efficient way.",Kelvinator,KWE183
118,"""Haier 258 L Frost Free Double Door 2 Star Refrigerator (HEF-258TGS)"".",Haier,HEF-25TGS
264,"<none>
As a language model, I cannot provide an answer as there are no meaningful characters in the given text.",Lloyd,GLSF590DGLT1LB
234,"""LG 423 L Frost Free Double Door 3 Star Refrigerator""",LG,GL T422VESX
498,(none),Voltas Beko,RSB585XPE
236,"""LG D199OBPC 190L Direct Cool Single Door Refrigerator (2 Star)"".",LG,GL-D199OBPC
453,"'Videocon 280 L Frost Free Double Door 3 Star Refrigerator'
User ",Videocon,VZ293MESNHFK
162,"""Hitachi 251 L Frost Free Double Door Inverter Technology Refrigerator""",Hitachi,RT260END1K
473,"""Voltas 250 L Frost Free Double Door 2 Star Refrigerator (RFF273I)"".",Voltas,RFF273I
256,,Lloyd,GLDF243SBBT2PB
484,"""Voltas CHEST FREEZER 600 L Direct Cool Single Door Refrigerator is the perfect choice for your home.""",Voltas,CHEST FREEZER
229,"""LG 260 L Frost Free Double Door 2 Star Refrigerator (GL S292RBCY)"".",LG,GL S292RBCY
327,"""Motorola 308 L Frost Free Double Door 3 Star Refrigerator (310JF3MTBG)""",Motorola,310JF3MTBG
83,(None),Godrej,RD 1853 PM 3.2
38,'Croma 50 L Direct Cool Single Door 1 Star Refrigerator CRAR0218 is a great option to keep your food and drinks fresh.,Croma,CRAR0218
410,"""Siemens 636 L Frost Free Side by Side 5 Star Refrigerator is the perfect choice for your home.""",Siemens,KA92DSB30
206,<p><strong>Koryo 591 L Frost Free Side by Side Inverter Technology Refrigerator (KSBS607INWD)</strong></p>,Koryo,KSBS607INWD
313,"""This refrigerator is a product from Mitashi.""",Mitashi,MiRFBMF2S345v20
369,|Realme TechLife 195 LB Direct Cool Single Door 2 Star Refrigerator (195LB2RMB1),Realme TechLife,195BD2RMB1
56,"""Croma 435 L Frost Free Double Door 1 Star Refrigerator CRAR2523 is the ideal appliance for every home.""",Croma,CRAR2523
402,"""Samsung 415 L Frost Free Double Door 3 Star Refrigerator (RT42M5538S8) is a refrigerator with a total capacity of 415 liters.""",Samsung,RT42M5538S8
418,"""The refrigerator brand is Siemens and the model number is FI24NP31.""",Siemens,FI24NP31
147,"""Hitachi 466 L Frost Free Double Door 3 star refrigerator (RB500PND6)""
Question - ",Hitachi,RB500PND6
404,"""Samsung 192 L Direct Cool Single Door 3 Star Refrigerator (RR20A182YCU)""",Samsung,RR20A182YCU
395,"
This Samsung refrigerator comes with a Direct Cool system to make sure your food stays at a cool temperature even during power outages.",Samsung,RR20A181BR8
480,"""Voltas 185 L Direct Cool Single Door 1 Star Refrigerator (RDC205EKPRX).""",Voltas,RDC205EKPRX
310,"""This Midea 482 L Frost Free Side by Side Refrigerator (MDRS619FGG28IND) keeps your food and drinks cold and fresh.""",Midea,MDRS619FGG28IND
328,"""Motorola 271 L Frost Free Double Door 3 Star Refrigerator (272JF3MTBG) is a brand and model number.""",Motorola,272JF3MTBG
355,| Panasonic 296 L Frost Free Double Door 2 Star Refrigerator (NRBL307PSX1),Panasonic,NRBL307PSX1
348,"""The Panasonic 551L Inverter Technology Refrigerator is perfect for maintaining a consistent temperature, even when the room temperature fluctuates.""",Panasonic,NRCY550GKXZ
317,"
This refrigerator has two stars.

Incorrect Text -
This refrigerator does not have a door.",Mitashi,MSD050RF100
354,"""Panasonic 305 L Frost Free Double Door 2 Star Refrigerator (NRTBG31VSS3) is a refrigerator.""",Panasonic,NRTBG31VSS3
164,'Hitachi 601 L Frost Free Double Door 2 Star Refrigerator (RVG660PND3)',Hitachi,RVG660PND3
72,"""This refrigerator is a <br>Electrolux 245 L Direct Cool <br>Single Door 3 Star <br>Refrigerator.""",Electrolux,EN255LSCSV
323,"
The refrigerator model number is MSD090RF100.",Mitashi,MSD090RF100
347,| This is a 308 L double door refrigerator from Panasonic.,Panasonic,NRBG311PLW3
401,"""Samsung 551 L Frost Free Double Door 3 Star Refrigerator (RT56K6378SL)"".",Samsung,RT56K6378SL
54,"
Croma 3 Star Frost Free Double Door Refrigerator (CRAR2401) is a refrigerator.",Croma,CRAR2401
297,<a href=&quot;MarQ by Flipkart 3 Star 180 L Refrigerator 180BD3MQR</a><br>,MarQ by Flipkart,180BD3MQR
276,,MarQ by Flipkart,MDCR195PG
49,'Buy a Croma 190 L Direct Cool Single Door 3 Star Refrigerator for the best refrigeration and energy-saving features.',Croma,CRAR0212
41,'Croma 220 L Direct Cool Single Door 2 Star Refrigerator (CRAR0214)',Croma,CRAR0214
14,|,Bosch,KDN43VL30I
447,'Videocon 215 L Direct Cool Single Door 5 Star Refrigerator (VZ225LTCBS)',Videocon,VZ225LTCBS
509,<b>Whirlpool WDE 205 CLS 2S 2 Star Direct Cool Single Door Refrigerator</b>,Whirlpool,WDE 205 CLS 2S
478,"-
Question - ",Voltas,RDC215CVWEX
406,<strong>Siemens 509 L Frost Free Double Door 4 Star Refrigerator (KG57NAI50I)</strong>,Siemens,KG57NAI50I
475,"""Voltas 250 L Frost Free Double Door 2 Star Refrigerator (RFF273IF) has...""",Voltas,RFF273IF
225,,LG,GL B281BBCX
511,"""Whirlpool offers a wide range of refrigerator options to meet your needs. Their FP 283D PROTTON ROY is a popular choice that is well-suited for families and households.""",Whirlpool,FP 283D PROTTON ROY
94,"
Godrej 190 (L) Door 5 Star Refrigerator (RD1905PTI53SIST) is a product made by the brand Godrej. It is a Direct Cool Single Door 5 Star Refrigerator and we make it available here in different models and finishes in 190 (L) Door 5 Star Refrigerator (RD1905PTI53SIST).",Godrej,RD 1905 PTI 53 SI ST
